BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,TenureBucket_0-1,TenureBucket_1-3,TenureBucket_3-5,TenureBucket_5-10,TenureBucket_>10,RiskCohort_High,RiskCohort_Low,RiskCohort_Medium,log1p_MonthlyIncome,DistanceFromHome,AvgWorkHours,OvertimeRatio,HourGapFromStandard,WorkloadIndex,WLB_Mismatch,TimeSinceLastPromoRatio,IncomePerHour,CommuteStressIndex,Age,Education,JobLevel,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,OvertimeFlag,ManagerStabilityIndex,CareerMobility,Satisfaction_X_Hours,RiskScore,AttritionFlag,EmployeeID
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4430599253170797,-0.3939381836990763,-0.24394120327105318,-0.24394120327105318,-0.24394120327105273,0.8674499311227298,-0.38371501867739644,-0.8514850080886236,1.6353426772332809,-0.060817658712996235,1.5413689168784945,-0.8916882501868245,-0.9614863916702531,-0.67846359583741,-1.1505541015749308,-0.9320143892374165,-1.3843404405163284,2.483395993813116,-1.1262199384722393,-0.7761385133324532,-1.1681296473004734,0.25220049272708844,1.1563022799500973,-1.0853364387843123,0.37967212888114743,-0.42623001504290287,-0.6546536707079771,-1.700602782345828,1.774627277940313,0.654051651431487,-0.07466759704831241,0,1
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.31476290012416386,0.09963874367159682,0.014026237590834413,0.014026237590834413,0.01402623759083487,1.0383758478023857,0.11207112676610885,-0.24418881150028374,-0.15621188780086073,0.29656216444313366,-0.6486681098094882,-1.8684257522543597,-0.9614863916702531,-1.0794855041128393,2.1293060069870897,0.24198831185855807,-0.6990772382492688,0.15570708143992978,-0.32430988298461916,-0.3724860758306997,-0.03056715539474581,0.25220049272708844,-0.663898703301707,1.7577486191538032,-1.0261667362455191,2.346151056253851,-0.6546536707079771,0.7061105964623257,-0.8880022092904284,-0.2419908278871943,-0.6810839929655454,1,2
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.804331647229125,0.9633983665702748,-0.5131829796983738,-0.5131829796983738,-0.5131829796983733,-1.3937976429942789,-1.025310802107865,-0.8514850080886236,2.484441234273932,0.4478684179110002,-0.5391662584750891,1.0617867539482457,1.7496101475022634,-0.67846359583741,-0.057267398720923963,2.5899937140505074,-0.8361298787026807,-0.6201892226844656,-0.32430988298461916,-0.7761385133324532,-0.3149577783711777,-0.6654597159581094,-0.663898703301707,-2.5068789677533703,0.37967212888114743,-0.42623001504290287,-0.6546536707079771,0.10443225176028706,-0.35547631184428,-0.9674486069645851,-0.07466759704831241,0,3
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7422345098038085,-0.8875151110697495,-0.3783880331041007,-0.3783880331041007,-0.3783880331041002,-1.0019990373182206,-0.30106260893191883,1.8054358519853633,0.7337423721061764,-0.6144240560147449,0.11784484953130571,2.038524256015781,0.8459113011114247,0.12358022071344858,-1.1505541015749308,2.5899937140505074,0.26029124492461486,1.7074996896887207,0.27712265863109603,2.049428549179821,0.25382346758168606,1.1698607014122862,1.1563022799500973,0.3362060901847455,-1.0261667362455191,-0.42623001504290287,-0.6546536707079771,0.17964204484804194,-0.273549250698719,1.062401339645709,-0.6810839929655454,0,4
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.210247028372345,0.09963874367159682,0.22858107743505932,0.22858107743505932,0.22858107743505973,1.1805371320167959,0.20309260696474493,-0.8514850080886236,-0.5187976596591186,0.35571486700039007,-0.5391662584750891,-1.8684257522543597,-0.9614863916702531,0.5246021289888778,-0.8772324258614291,1.4159910129545328,-0.28791931688903294,-0.6201892226844656,-0.12383236911271409,-0.7761385133324532,-0.03056715539474581,1.1698607014122862,-1.573999194927609,0.3362060901847455,0.37967212888114743,-0.42623001504290287,1.5275252316519465,0.3049916999942998,0.2953886739232345,-0.1431680709177992,0.5317487988689206,0,5
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.35876825248323424,-0.14714972001373974,2.3127707722865196,2.3127707722865196,2.3127707722865196,-0.6448213629823566,2.801734592286749,2.184995974853076,-0.3962424822280482,0.7442443095856988,0.9938596602064987,0.08504925188071055,1.7496101475022634,0.12358022071344858,-0.6039107501479274,-0.9320143892374165,2.316080851725794,1.7074996896887207,0.07664514475919097,2.049428549179821,0.8226047135345498,0.25220049272708844,-0.663898703301707,-1.0853364387843123,0.37967212888114743,-0.42623001504290287,1.5275252316519465,1.307788941164364,-0.6027204785157062,0.8167980237271147,2.9574143825378525,0,6
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.18982360486406313,0.2230329755142651,-0.5801702455415917,-0.5801702455415917,-0.5801702455415911,-0.49767583279331806,-1.1365915209685518,-0.8514850080886236,0.27412087418562875,0.18448608310304265,-0.9771736638126857,-0.8916882501868245,-0.05778754527941421,-0.2774416875619807,1.3093409798465847,0.24198831185855807,-0.8361298787026807,-0.6201892226844656,-1.3266974523441444,-0.7761385133324532,-1.1681296473004734,-1.5831199246433072,0.24620178832419518,-2.5068789677533703,0.37967212888114743,2.346151056253851,-0.6546536707079771,-1.700602782345828,0.1770495856018683,-0.9921317743907776,-0.07466759704831241,1,7
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.757202892562361,1.0867925984129432,-0.7280470713717184,-0.7280470713717184,-0.7280470713717179,-0.5629966911834143,-0.5914932500751593,-0.8514850080886236,-0.2654545364028303,0.40769753553390065,-0.8676718124782865,0.08504925188071055,-0.05778754527941421,-0.2774416875619807,1.855984331273588,2.5899937140505074,-0.150866676435621,-0.6201892226844656,-1.3266974523441444,-0.7761385133324532,-1.1681296473004734,-1.5831199246433072,-0.663898703301707,0.3362060901847455,0.37967212888114743,2.346151056253851,-0.6546536707079771,-1.700602782345828,-0.35547631184428,-1.509455892764625,-0.6810839929655454,0,8
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.419842505154699,-1.0109093429124179,-0.34639944622100427,-0.3463994462210049,-0.34639944622100377,-0.9914014236852516,-0.2744925370019796,1.5102224230882537,-0.5333889129870683,-0.8624024921950635,-0.6486681098094882,0.08504925188071055,0.8459113011114247,-1.0794855041128393,1.5826626555600865,-0.9320143892374165,-0.150866676435621,-0.6201892226844656,0.4776001725030011,2.049428549179821,1.1069953365109817,-0.6654597159581094,1.1563022799500973,0.3362060901847455,0.37967212888114743,2.346151056253851,-0.6546536707079771,0.9735231941076757,-0.8880022092904284,0.08999120181399795,-0.07466759704831241,0,9
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.4833901209914038,-0.270543951856408,-0.46324506813311295,-0.46324506813311295,-0.46324506813311245,-1.3805623551876605,-0.3715457950983461,-0.3454048442650073,1.8134799114131397,-0.028679789848132423,-1.3056792178158831,1.0617867539482457,1.7496101475022634,-0.67846359583741,-0.6039107501479274,0.24198831185855807,-0.6990772382492688,-0.6201892226844656,-0.12383236911271409,-0.3724860758306997,0.25382346758168606,-0.6654597159581094,-1.573999194927609,0.3362060901847455,0.37967212888114743,-0.42623001504290287,-0.6546536707079771,0.806390320579332,-0.44423062808530495,-1.4362761014439802,-1.2875003888827785,0,10
